Country,CountryCode,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,,,,,,,,,,,,,,,,1,,,,,
Albania,,1,,,,,,,,,,,,,,,,1,,,
Algeria,,,,,,,1,,,,,,,,,,,1,,,
Andorra,,,,,,,,,,,,,,,,,,1,,,
Angola,,,,,,,,1,,,,,,,,,,,,,1
Antigua and Barbuda,,,,,,,,,,,,,,,,1,,,,,
Argentina,,,,,1,,,,,,,,,,,,,,1,,
Armenia,,1,,,,,,,,,,,,,,,1,,,,
Australia,,1,,,,,,,,,,1,,,,,,,,,
Austria,,1,,,,,1,,,,,,,,,1,,,,,
Azerbaijan,,,,,,1,,,,,,,,,,,,1,,,
Bahrain,,,,,,,,,1,,,,,,,,,1,,,
Bangladesh,,,,,,,,1,,,,,,,,,,1,,,
Belarus,,1,,,,,,,,,,1,,,,,1,,,,
Belgium,,,,,,,,,1,,,,,,1,,,,,,
Belize,,1,,,,,,,,,,,,,,,,1,,,
Benin,,,,1,,,,,,,,,,,,,,1,,,
Bhutan,,1,,1,,,,,,,1,,,,,1,,,,,
Bolivia,,,1,,,,,,,,,,,,,,,,,1,
Bosnia and Herzegovina,,,,,,,,,,,,,1,,,,,1,,,
Botswana,,,,,,,1,,1,,,,,,,,,1,,,
Brazil,,,,1,,,,1,,,,,,,,,,1,,,
Brunei Darussalam,,,,,,,,,,,,,,,,,1,,,,
Burkina Faso,,1,,,,,,,,,,,1,,,,,,,,
Burundi,,1,,,,,,,,,,,,,1,,,,,,
Cabo Verde,,1,,,,,,,,,,,,,,1,,,,,
Cambodia,,,,1,,,,,,,,,,,,,,1,,,
Cameroon,,1,,,,,,,,,,,,1,,,,,,,
Canada,,1,,,,,,,,,,,,,,,,1,,,
Chad,,1,,,,,,,,,,,,,,1,,,,,
Chile,,,,,1,,,,,,,,,,,,,,,1,
China,,1,,,,,,,,,,1,,,,,,,,,
Colombia,,,,,,,1,,,,,,,1,,,,,1,,
Comoros,,1,,,,,,,,,,,,,,,,1,,,
Congo,,,1,,,,,,,,,,,,,,1,,,,
Costa Rica,,1,,,,,,,,,,,,,,,,1,,,
Côte d’Ivoire,,,,1,,,,,,,,,,,,,,1,,,
Croatia,,1,,,,,,,,1,,,,,,,,,1,,
Cuba,,1,,,,,,1,,,,,,,,,,1,,,
Czech Republic,,,,,,,1,,,,,,,,,,,1,,,
DPR Korea,,1,,,,,,,1,,,,,,,,,,,,
DR of Congo,,1,,1,,,,,,,,,,,,,,1,,,
Denmark,,1,,,,1,,,,,,,,,,1,,,,,
Djibouti,,,1,,,,,,,,,,,,,,,,1,,
Dominica,,,,1,,,,,,,,,,,1,,,,,,
Dominican Republic,,,,,,,,,,,,,1,,,,,,,,
Ecuador,,,1,,,,,,,,,,,,,,,1,,,
Egypt,,1,,,,,,,,,,,,,,,,1,,,
El Salvador,,1,,,,,,,,,,,,,1,,,,,,
Equatorial Guinea,,,,,,,1,,,,,,,,,,1,,,,
Eritrea,,1,,,,,,,,,,,,,,1,,,,,
Estonia,,1,,,,,,,,,,,,1,,,,,,,
Ethiopia,,,,,,,,1,,,,,,,,,1,,,,
European Union,,1,,,,,,1,,,,,1,,,,,,,,
Finland,,1,,,,,,1,,,,,,1,,,,,,,
France,,,,,,1,,,,,,,1,,,,,,,,
Gambia,,1,,,,,,,,,,,,,,,1,,,,
Georgia,,,,,,,1,,,,,,,,,1,,,,,
Germany,,,,,,,,,1,,,,,,,,1,,,,
Ghana,,,,1,,,,,,,,,,,,,,1,,,
Greece,,,,,,,,,,,,,,,,1,,,,,
Grenada,,1,,,,,,,,,,,,,,,,1,,,
Guatemala,,1,,,,,,,,,,,,,,1,,,,,
Guinea,,,1,,,,,,,,,,,,,,,1,,,
Guinea-Bissau,,,1,,,,,,,,,,,,,,1,,,,
Guyana,,1,,,,,,,1,,,,,,,,1,,,,
Honduras,,,1,,,,,,,,,,,,,,,,1,,
Hungary,,,,,,,,,,1,,,,,,,1,,,,
India,,1,,,,,,,,1,,,,,,1,,,,,
Indonesia,,1,,,1,,,,,,,,,,,,,1,,,
Iran,,,,,,,,1,,,,,,,,,,1,,,
Iraq,,,,,,,,,,,,,,,,,1,,,,
Ireland,,,,1,,,,,,,,,1,,,,,,1,,
Italy,,,,,,,,,,,,1,,,,,,,,,
Jamaica,,,,,1,,,,,,,,,,,,,1,,,
Japan,,1,,1,,,,,,1,,1,,1,,,,,,,
Jordan,,,1,,,,,,,,,,,,,,1,,,,
Kiribati,,,,,,,,1,,,,,,,,,,1,,,
Kuwait,,,,,,,,,,,,,,,,,,,,1,
Kyrgyzstan,,1,,1,,,,,,,,,,,,1,,,,,
Lao PDR,,,,,,1,,,,,,,,,,,,1,,,
Latvia,,1,,,1,,,,,,,,,,,1,,,,,
Lebanon,,1,,,,,1,,,,,,,,,,,1,,,
Liberia,,,,,1,,,,,,,,,,,,,,1,,
Liechtenstein,,,,,,,,,,,,,,,,1,,,,,
Lithuania,,1,,,,,,,,,,,,,,,1,,,,
Luxembourg,,,,,,,,,1,,,,,,,,,,1,,
Madagascar,,,,1,,,,,1,,,,,,,,,1,,,
Malawi,,,,,,,,1,,,,,,,,,1,,,,
Malaysia,,1,,,,,,,,,,,,,,,,1,,,
Maldives,,,,1,,,,,,,,,,,,,1,,,,
Mali,,,1,,,,,,,,,,,,,1,,,,,
Malta,,,,,,,,,,,,,,1,,,,,,,
Mauritania,,1,,,,,,,,,,,,,,1,,,,,
Mauritius,,,,,,,,1,,,,,,,,,,,1,,
Mexico,,1,,,,,,,,,,,,,,,,1,,,
"Micronesia, Federated States of",,,,1,,,,,,,,,,,,,,,,1,
Mongolia,,1,,,,,,,,,,,,,,,1,,,,
Montenegro,,,,,,,,,,,,1,,,,,,1,,,
Morocco,,,,1,,1,,,,,,,,,,,,1,,,
Mozambique,,,1,,1,,,,,,,,,,,,1,,,,
Myanmar,,,,,,,,,,,,,,1,,,1,,,,
Namibia,,,,1,,,,,,,,,,,,1,,,,,
Nauru,,,,,,,,,,,,1,,,,,,,,,
Nepal,,,,1,,,,,,,,,,,,1,,,,,
Netherlands,,1,1,,,,,,,1,,,,,1,,,,,,
New Zealand,,1,,,,,,,,,,,,,,,,1,,,
Nicaragua,,,1,,,,,,,,,,,,,,,1,,,
Niger,,1,,,,,,,,,1,,,,,1,,,,,
Nigeria,,,,,,,,1,,,,,,,,,1,,,,
Niue,,,1,,,,,,,,,,,,,,1,,,,
Norway,,,1,,,1,,1,,,,,,,,,1,,,,
Pakistan,,1,,,,,,,,,,,,,,,,,,1,
Palau,,,,,,,1,,,,,,,,,,,,,1,
Panama,,1,,,,,,,,,,,,,,,,,,1,
Paraguay,,,,,1,,,,,,,,,,,,,1,,,
Peru,,,1,,,,,,,,,,,,,1,,,,,
Philippines,,1,,1,,,,,,,,,,,,,1,,,,
Poland,,,,,1,,,,1,,,,,,,,1,,,,
Portugal,,,1,,,,,,,,,,,,,,,,,1,
Qatar,,,,,,1,,,,,,,,,,1,,,,,
Republic of Korea,,1,,,,,,,,,1,,,,,1,,,,1,
Republic of Moldova,,1,,,,,,,,,,,,,,,1,,,,
Romania,,1,1,,,,,,,,,,,,,1,,,,,
Russian Federation,,,1,,,,,,,,,,,,,1,,,,,
Rwanda,,,,,1,,,,,,,,,,,,,1,,,
Saint Kitts and Nevis,,,,,,1,,,,,,,,,,1,,,,,
Saint Vincent and the Grenadines,,,,,,1,,,,,,,,,,,,,1,,
Samoa,,,1,,,,,,,,,,,,,,1,,,,
San Marino,,,,,,,,,,,,,,,,,,,,1,
Sao Tome and Principe,,,,,,,1,,,,,,,,,,,1,,,
Senegal,,1,,,,,,,,,,,,,,,1,,,,
Serbia,,,,,,,,,,,,,1,,,,,,,,
Seychelles,,,,,,,,,,1,,,,,,,1,,,,
Sierra Leone,,,,,1,,,,,,,,,,,,,,1,,
Singapore,,1,,1,,,,,,,1,,,,,,,,,,1
Slovakia,,1,,1,,,,,,,,,,,,1,,,,,
Solomon Islands,,,,,,,,,,,1,,,,,,,1,,,
Somalia,,,,,,,,,,,,,,,,,1,,,,
South Africa,,,,,,,1,,,,,,,,,,1,,,,
South Sudan,,,,,,,,,,,,,,,,,,,,1,
Spain,,1,,,,,1,,,,,,1,,,,,,,,
Sri Lanka,,1,,,,,,,,,,,,,,,,1,,,
Sudan,,1,,,,,,,,,,,,,,,1,,,,
Suriname,,,,,,,,1,,,,,,,1,,,,,,
Swaziland,,,1,,,,,,,,,,,,,,,1,,,
Sweden,,1,,,,,,1,,,,,,,,1,,,,,
Switzerland,,,1,,,,,,,,,,,,,,,1,,,
Tajikistan,,,,,1,,,,,,,,,,,,,1,,,
Thailand,,1,,1,,,,,,1,,,,,,,1,,,,
TFYR Macedonia,,,,,,,1,,,,,,,,,,,,,1,
Timor-Leste,,,,,,,,,,,,,1,,,,1,,,,
Togo,,,,,1,,,,,,,,,,,1,,,,,
Trinidad and Tobago,,,1,,,,,,,,,,,,,,,,,1,
Tunisia,,1,,,,,,,,,1,,,,,,,,1,,
Turkey,,,1,,,,,,1,,,,,,,,,,,1,
Turkmenistan,,,,1,,,,,,,,,,,,,,,,1,
Tuvalu,,,,,,,,,,,,,,,1,,,,,,
Uganda,,,,1,,,,,,,,,,,,,1,,,,
Ukraine,,1,,,,,,,,,,1,1,,,,,,,,
United Arab Emirates,,,,,,,,,,,,,,,,1,,,,,
United Kingdom,,1,,,,,,1,,,,,1,,,,,,,,
United Republic of Tanzania,,,,,,1,,,,,,,,,,,1,,,,
Uruguay,,1,,,,,,,,,,,,,,,,1,,,
Vanuatu,,1,,,,,,,,,,,,,,,,,,1,
Venezuela,,,1,,,,,,,,,1,,,,,,,,,
Vietnam,,1,,,,,,,1,,,,,,,,1,,,,
Yemen,,,,,,,1,,,,,,,,,,,,1,,
Zambia,,1,,,,,,,,,,,,,,,1,,,,
Zimbabwe,,,,1,,,,,,,,,,,,1,,,,,
