Entity,Code,Year,14.b.1 - Degree of application of a legal/regulatory/policy/institutional framework which recognizes and protects access rights for small-scale fisheries (level of implementation: 1 lowest to 5 highest) - ER_REG_SSFRAR
Afghanistan,AFG,2020,2
Africa,,2018,4
Africa,,2020,4
Africa,,2022,4
Albania,ALB,2018,3
Albania,ALB,2020,5
Albania,ALB,2022,5
Americas,,2018,4
Americas,,2020,4
Americas,,2022,4
Angola,AGO,2020,5
Antigua and Barbuda,ATG,2018,5
Antigua and Barbuda,ATG,2020,5
Antigua and Barbuda,ATG,2022,5
Argentina,ARG,2020,2
Argentina,ARG,2022,4
Armenia,ARM,2018,2
Armenia,ARM,2022,3
Asia,,2018,3
Asia,,2020,4
Asia,,2022,4
Australia and New Zealand,,2018,3
Austria,AUT,2018,4
Austria,AUT,2020,4
Austria,AUT,2022,5
Azerbaijan,AZE,2018,3
Azerbaijan,AZE,2022,2
Bahamas,BHS,2018,4
Bangladesh,BGD,2018,3
Bangladesh,BGD,2022,5
Belarus,BLR,2020,3
Belgium,BEL,2018,4
Belgium,BEL,2020,4
Belgium,BEL,2022,5
Belize,BLZ,2018,5
Belize,BLZ,2020,5
Belize,BLZ,2022,5
Benin,BEN,2018,4
Bhutan,BTN,2018,3
Bolivia,BOL,2020,3
Botswana,BWA,2018,4
Brazil,BRA,2022,5
Bulgaria,BGR,2018,4
Bulgaria,BGR,2020,4
Bulgaria,BGR,2022,5
Burkina Faso,BFA,2018,4
Burundi,BDI,2018,5
Burundi,BDI,2022,4
Cambodia,KHM,2020,5
Cameroon,CMR,2018,4
Canada,CAN,2018,4
Canada,CAN,2022,4
Cape Verde,CPV,2018,5
Cape Verde,CPV,2020,5
Cape Verde,CPV,2022,5
Caribbean,,2018,4
Caribbean,,2020,4
Caribbean,,2022,3
Caucasus and Central Asia,,2018,2
Caucasus and Central Asia,,2022,3
Central America,,2018,5
Central America,,2020,5
Central America,,2022,5
Central Asia,,2018,3
Central Asia,,2022,4
Central and Southern Asia,,2018,3
Central and Southern Asia,,2020,2
Central and Southern Asia,,2022,3
Chad,TCD,2018,5
Chile,CHL,2018,5
Chile,CHL,2020,5
Chile,CHL,2022,5
China,CHN,2020,2
China,CHN,2022,2
Colombia,COL,2020,5
Colombia,COL,2022,5
Congo,COG,2022,4
Cook Islands,COK,2022,4
Costa Rica,CRI,2020,5
Costa Rica,CRI,2022,5
Cote d'Ivoire,CIV,2018,5
Cote d'Ivoire,CIV,2020,5
Cote d'Ivoire,CIV,2022,5
Croatia,HRV,2018,4
Croatia,HRV,2020,4
Croatia,HRV,2022,5
Cuba,CUB,2018,5
Cuba,CUB,2020,5
Cuba,CUB,2022,5
Cyprus,CYP,2018,4
Cyprus,CYP,2020,4
Cyprus,CYP,2022,5
Czechia,CZE,2018,4
Czechia,CZE,2020,4
Czechia,CZE,2022,5
Denmark,DNK,2018,4
Denmark,DNK,2020,4
Denmark,DNK,2022,5
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2018,4
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2020,4
"Developed regions (Europe, Cyprus, Israel, Northern America, Japan, Australia & New Zealand)",,2022,5
Developing regions,,2018,4
Developing regions,,2020,4
Developing regions,,2022,4
Dominica,DMA,2018,3
Dominica,DMA,2022,2
Dominican Republic,DOM,2018,4
Dominican Republic,DOM,2022,4
Eastern Africa,,2018,4
Eastern Africa,,2020,5
Eastern Africa,,2022,4
Eastern Asia,,2018,3
Eastern Asia,,2020,4
Eastern Asia,,2022,4
Eastern Asia (excluding Japan and China),,2018,2
Eastern Asia (excluding Japan),,2018,2
Eastern Asia (excluding Japan),,2020,3
Eastern Europe,,2018,4
Eastern Europe,,2020,4
Eastern Europe,,2022,5
Eastern and South-Eastern Asia,,2018,4
Eastern and South-Eastern Asia,,2020,4
Eastern and South-Eastern Asia,,2022,4
Ecuador,ECU,2020,5
Ecuador,ECU,2022,5
El Salvador,SLV,2018,5
El Salvador,SLV,2022,5
Equatorial Guinea,GNQ,2022,3
Eritrea,ERI,2018,3
Eritrea,ERI,2020,3
Eritrea,ERI,2022,3
Estonia,EST,2018,4
Estonia,EST,2020,4
Estonia,EST,2022,5
Eswatini,SWZ,2018,2
Eswatini,SWZ,2020,3
Ethiopia,ETH,2018,4
Europe,,2018,4
Europe,,2020,4
Europe,,2022,5
Europe and Northern America,,2018,4
Europe and Northern America,,2020,4
Europe and Northern America,,2022,5
Faeroe Islands,FRO,2018,4
Faeroe Islands,FRO,2022,4
Fiji,FJI,2018,5
Finland,FIN,2018,4
Finland,FIN,2022,5
France,FRA,2018,4
France,FRA,2020,4
France,FRA,2022,5
Gambia,GMB,2018,5
Georgia,GEO,2018,1
Germany,DEU,2018,4
Germany,DEU,2020,4
Germany,DEU,2022,5
Ghana,GHA,2018,5
Ghana,GHA,2022,5
Greece,GRC,2018,4
Greece,GRC,2020,4
Greece,GRC,2022,5
Grenada,GRD,2020,4
Guatemala,GTM,2018,3
Guatemala,GTM,2020,4
Guatemala,GTM,2022,4
Guinea,GIN,2018,4
Guyana,GUY,2018,3
Guyana,GUY,2020,3
Guyana,GUY,2022,2
Honduras,HND,2018,5
Honduras,HND,2020,4
Honduras,HND,2022,4
Hungary,HUN,2018,4
Hungary,HUN,2020,4
Hungary,HUN,2022,5
Iceland,ISL,2018,4
Iceland,ISL,2022,4
India,IND,2020,4
India,IND,2022,4
Indonesia,IDN,2018,5
Indonesia,IDN,2022,5
Iran,IRN,2018,4
Ireland,IRL,2018,4
Ireland,IRL,2020,4
Ireland,IRL,2022,5
Italy,ITA,2018,4
Italy,ITA,2022,5
Jamaica,JAM,2018,2
Jamaica,JAM,2020,5
Japan,JPN,2018,4
Japan,JPN,2020,5
Japan,JPN,2022,5
Kazakhstan,KAZ,2020,1
Kenya,KEN,2020,5
Kiribati,KIR,2020,2
Kyrgyzstan,KGZ,2018,3
Landlocked developing countries (LLDCs),,2018,4
Landlocked developing countries (LLDCs),,2020,3
Landlocked developing countries (LLDCs),,2022,3
Laos,LAO,2020,4
Latin America and the Caribbean,,2018,4
Latin America and the Caribbean,,2020,4
Latin America and the Caribbean,,2022,4
Latvia,LVA,2018,4
Latvia,LVA,2020,4
Latvia,LVA,2022,5
Least developed countries (LDCs),,2018,4
Least developed countries (LDCs),,2020,4
Least developed countries (LDCs),,2022,4
Lebanon,LBN,2018,3
Lebanon,LBN,2020,4
Libya,LBY,2018,3
Lithuania,LTU,2018,4
Lithuania,LTU,2020,4
Lithuania,LTU,2022,5
Luxembourg,LUX,2018,4
Luxembourg,LUX,2022,5
Madagascar,MDG,2018,3
Madagascar,MDG,2020,3
Malawi,MWI,2018,5
Malawi,MWI,2020,5
Malawi,MWI,2022,5
Malaysia,MYS,2018,3
Malaysia,MYS,2022,3
Maldives,MDV,2018,4
Maldives,MDV,2020,2
Mali,MLI,2018,5
Mali,MLI,2020,3
Malta,MLT,2018,4
Malta,MLT,2020,4
Malta,MLT,2022,5
Marshall Islands,MHL,2022,5
Mauritania,MRT,2018,4
Mauritius,MUS,2020,4
Mauritius,MUS,2022,4
Melanesia,OWID_MNS,2018,4
Mexico,MEX,2018,5
Mexico,MEX,2020,5
Mexico,MEX,2022,5
Micronesia (country),FSM,2018,4
Micronesia (country),FSM,2020,3
Micronesia (country),FSM,2022,4
Middle Africa,,2018,4
Middle Africa,,2022,3
Mongolia,MNG,2020,4
Montenegro,MNE,2020,5
Montenegro,MNE,2022,3
Morocco,MAR,2018,5
Morocco,MAR,2020,5
Morocco,MAR,2022,5
Myanmar,MMR,2018,4
Myanmar,MMR,2020,5
Namibia,NAM,2020,1
Namibia,NAM,2022,2
Nauru,NRU,2020,3
Nauru,NRU,2022,5
Nepal,NPL,2018,1
Nepal,NPL,2020,1
Nepal,NPL,2022,1
Netherlands,NLD,2018,4
Netherlands,NLD,2020,4
Netherlands,NLD,2022,5
New Zealand,NZL,2018,3
New Zealand,NZL,2020,3
Nicaragua,NIC,2018,5
Nicaragua,NIC,2022,4
Niger,NER,2018,5
North Macedonia,MKD,2020,2
Northern Africa,,2018,4
Northern Africa (exc. Sudan),,2018,4
Northern Africa and Western Asia,,2018,4
Northern Africa and Western Asia,,2020,5
Northern Africa and Western Asia,,2022,4
Northern America,,2018,4
Northern Europe,,2018,4
Northern Europe,,2020,4
Northern Europe,,2022,5
Oceania,,2018,3
Oceania,,2020,4
Oceania,,2022,5
Oceania (exc. Australia and New Zealand),,2018,4
Oceania (exc. Australia and New Zealand),,2020,4
Oceania (exc. Australia and New Zealand),,2022,5
Oman,OMN,2018,5
Oman,OMN,2020,5
Pakistan,PAK,2018,2
Pakistan,PAK,2020,4
Palau,PLW,2018,4
Palau,PLW,2020,3
Palau,PLW,2022,2
Panama,PAN,2020,5
Panama,PAN,2022,5
Peru,PER,2018,5
Peru,PER,2020,5
Peru,PER,2022,5
Philippines,PHL,2018,5
Philippines,PHL,2020,4
Philippines,PHL,2022,5
Poland,POL,2018,4
Poland,POL,2020,4
Poland,POL,2022,5
Polynesia,OWID_PYA,2018,3
Polynesia,OWID_PYA,2020,5
Polynesia,OWID_PYA,2022,5
Portugal,PRT,2018,4
Portugal,PRT,2020,4
Portugal,PRT,2022,5
Romania,ROU,2018,4
Romania,ROU,2020,4
Romania,ROU,2022,5
Russia,RUS,2018,3
Russia,RUS,2022,4
Saint Kitts and Nevis,KNA,2018,4
Saint Kitts and Nevis,KNA,2020,4
Saint Kitts and Nevis,KNA,2022,4
Saint Vincent and the Grenadines,VCT,2018,5
Saint Vincent and the Grenadines,VCT,2020,4
Saint Vincent and the Grenadines,VCT,2022,4
Samoa,WSM,2018,4
Samoa,WSM,2020,5
Samoa,WSM,2022,5
Sao Tome and Principe,STP,2018,5
Saudi Arabia,SAU,2020,5
Senegal,SEN,2018,5
Serbia,SRB,2020,4
Seychelles,SYC,2018,4
Seychelles,SYC,2022,4
Sierra Leone,SLE,2018,5
Slovakia,SVK,2018,4
Slovakia,SVK,2020,4
Slovakia,SVK,2022,5
Slovenia,SVN,2018,4
Slovenia,SVN,2020,4
Slovenia,SVN,2022,5
Small Island Developing States (SIDS),,2018,4
Small Island Developing States (SIDS),,2020,4
Small Island Developing States (SIDS),,2022,4
Solomon Islands,SLB,2018,4
Solomon Islands,SLB,2020,4
Solomon Islands,SLB,2022,5
Somalia,SOM,2018,5
South America,,2018,4
South America,,2020,4
South America,,2022,4
South Korea,KOR,2018,2
South-eastern Asia,,2018,4
South-eastern Asia,,2020,4
South-eastern Asia,,2022,5
Southern Africa,,2018,3
Southern Africa,,2020,2
Southern Asia,,2018,4
Southern Asia,,2020,2
Southern Asia,,2022,3
Southern Asia (excluding India),,2018,3
Southern Asia (excluding India),,2020,2
Southern Asia (excluding India),,2022,3
Southern Europe,,2018,4
Southern Europe,,2020,4
Southern Europe,,2022,5
Spain,ESP,2018,4
Spain,ESP,2020,4
Spain,ESP,2022,5
Sri Lanka,LKA,2018,4
Sub-Saharan Africa,,2018,4
Sub-Saharan Africa,,2020,4
Sub-Saharan Africa,,2022,4
Sub-Saharan Africa (inc. Sudan),,2018,4
Sub-Saharan Africa (inc. Sudan),,2022,4
Sudan,SDN,2018,4
Suriname,SUR,2018,4
Suriname,SUR,2020,4
Suriname,SUR,2022,5
Sweden,SWE,2018,4
Sweden,SWE,2020,4
Sweden,SWE,2022,5
Tajikistan,TJK,2018,4
Tajikistan,TJK,2022,2
Tanzania,TZA,2018,5
Tanzania,TZA,2022,5
Thailand,THA,2018,5
Thailand,THA,2020,5
Thailand,THA,2022,5
Tonga,TON,2018,2
Tonga,TON,2020,5
Trinidad and Tobago,TTO,2018,4
Trinidad and Tobago,TTO,2020,4
Trinidad and Tobago,TTO,2022,4
Turkey,TUR,2018,5
Turkey,TUR,2020,5
Turkey,TUR,2022,5
Uganda,UGA,2020,5
Ukraine,UKR,2020,2
United Arab Emirates,ARE,2022,4
United Kingdom,GBR,2018,4
United Kingdom,GBR,2022,4
Uruguay,URY,2018,5
Uruguay,URY,2020,4
Uzbekistan,UZB,2022,5
Vanuatu,VUT,2018,3
Venezuela,VEN,2018,4
Venezuela,VEN,2020,5
Venezuela,VEN,2022,5
Vietnam,VNM,2018,4
Vietnam,VNM,2020,4
Western Africa,,2018,4
Western Africa,,2020,4
Western Africa,,2022,5
Western Asia,,2018,3
Western Asia,,2020,5
Western Asia,,2022,4
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2018,4
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2020,5
"Western Asia (exc. Armenia, Azerbaijan, Cyprus, Israel and Georgia)",,2022,5
Western Europe,,2018,4
Western Europe,,2020,4
Western Europe,,2022,5
World,OWID_WRL,2018,3
World,OWID_WRL,2020,4
World,OWID_WRL,2022,5
Yemen,YEM,2022,5
Zambia,ZMB,2022,5
Zimbabwe,ZWE,2018,4