Entity,Code,Year,14.c.1 - Score for the implementation of UNCLOS and its two implementing agreements (%) - ER_UNCLOS_IMPLE
Argentina,ARG,2021,100
Austria,AUT,2021,95
Azerbaijan,AZE,2021,80
Bangladesh,BGD,2021,90
Belarus,BLR,2021,48
Belize,BLZ,2021,67
Bulgaria,BGR,2021,100
Burundi,BDI,2021,11
China,CHN,2021,95
Colombia,COL,2021,50
Croatia,HRV,2021,93
Czechia,CZE,2021,90
Denmark,DNK,2021,90
Ecuador,ECU,2021,57
Estonia,EST,2021,63
Germany,DEU,2021,100
Greece,GRC,2021,100
Guyana,GUY,2021,65
Iceland,ISL,2021,100
Iraq,IRQ,2021,13
Ireland,IRL,2021,100
Japan,JPN,2021,100
Liechtenstein,LIE,2021,0
Lithuania,LTU,2021,93
Madagascar,MDG,2021,50
Malaysia,MYS,2021,60
Mauritius,MUS,2021,73
Montenegro,MNE,2021,40
Namibia,NAM,2021,80
New Zealand,NZL,2021,100
Pakistan,PAK,2021,27
Panama,PAN,2021,87
Peru,PER,2021,0
Philippines,PHL,2021,70
Portugal,PRT,2021,85
Qatar,QAT,2021,80
Romania,ROU,2021,90
Slovenia,SVN,2021,93
South Korea,KOR,2021,93
South Sudan,SSD,2021,17
Suriname,SUR,2021,37
Switzerland,CHE,2021,100
United Kingdom,GBR,2021,100